"i","choice","formal","wage","labor_taxes","voluntary_saving","consumption_young","consumption_old","decision_utility","experienced_utility","funded_contribution","funded_public_contribution","payg_contribution","payg_notional_contribution","funded_benefit","payg_benefit","eligibility_probability","eligible_payg_benefit","refund_benefit","utility_informal","utility_capitalization","utility_payg","utility_difference_formal_informal","utility_difference_payg_capitalization"
0.082,"informal",FALSE,0.124639816110423,0,0.00935340612990814,0.0950299223099631,0.121544783697895,-23.7781737296243,-26.2098722035978,0,0,0,0,0,0,0,0,0,-23.7781737296243,-65.4006983050947,-74.6588354910041,-41.6225245754704,-9.25813718590942
0.084,"informal",FALSE,0.125364827544575,0,0.00940781351435455,0.0955826973573865,0.122251791784817,-23.5722008991611,-25.9828353577391,0,0,0,0,0,0,0,0,0,-23.5722008991611,-64.4966275155477,-73.6265265688561,-40.9244266163866,-9.12989905330841
0.086,"informal",FALSE,0.126094056263348,0,0.00946253737853479,0.096138687815763,0.122962912433543,-23.3680122598377,-25.7577651650932,0,0,0,0,0,0,0,0,0,-23.3680122598377,-63.605054207124,-72.6084836690624,-40.2370419472863,-9.00342946193839
0.088,"informal",FALSE,0.126827526798064,0,0.00951757956336479,0.0966979123886638,0.12367816956624,-23.1655923565185,-25.5346445899899,0,0,0,0,0,0,0,0,0,-23.1655923565185,-62.7258056200836,-71.6045095172633,-39.5602132635651,-8.87870389717978
0.09,"informal",FALSE,0.127565263822743,0,0.00957294192046885,0.0972603898884564,0.124397587244223,-22.9649258679443,-25.3134567443262,0,0,0,0,0,0,0,0,0,-22.9649258679443,-61.858711382842,-70.6144095650692,-38.8937855148977,-8.75569818222719
0.092,"informal",FALSE,0.128307292154927,0,0.00962862631224189,0.0978261392369369,0.125121189668773,-22.765997605573,-25.0941848862885,0,0,0,0,0,0,0,0,0,-22.765997605573,-61.0036034789577,-69.6379919523611,-38.2376058733847,-8.63438847340344
0.094,"informal",FALSE,0.129053636756518,0,0.00968463461191209,0.0983951794659668,0.125849001181943,-22.5687925124292,-24.8768124190852,0,0,0,0,0,0,0,0,0,-22.5687925124292,-60.1603162145748,-68.6750674701131,-37.5915237021456,-8.51475125553824
0.096,"informal",FALSE,0.129804322734621,0,0.00974096870360394,0.098967529718113,0.126581046267381,-22.3732956619654,-24.6613228896905,0,0,0,0,0,0,0,0,0,-22.3732956619654,-59.3286861863176,-67.7254495237278,-36.9553905243522,-8.39676333741015
0.098,"informal",FALSE,0.130559375342381,0,0.00979763048240159,0.099543209247292,0.127317349551153,-22.1794922569316,-24.4476999875991,0,0,0,0,0,0,0,0,0,-22.1794922569316,-58.5085522496274,-66.7889540968792,-36.3290599926957,-8.28040184725175
0.1,"informal",FALSE,0.13131881997984,0,0.00985462185441263,0.100122237419417,0.128057935802569,-21.9873676282557,-24.2359275435914,0,0,0,0,0,0,0,0,0,-21.9873676282557,-57.6997554875376,-65.8653997158542,-35.712387859282,-8.16564422831654
0.102,"informal",FALSE,0.132082682194788,0,0.00991194473683218,0.100704633713051,0.128802829935023,-21.7969072339326,-24.0259895285101,0,0,0,0,0,0,0,0,0,-21.7969072339326,-56.9021391798808,-64.9546074143878,-35.1052319459483,-8.05246823450691
0.104,"informal",FALSE,0.13285098768362,0,0.00996960105800742,0.101290417720061,0.129552057006822,-21.6080966579242,-23.8178700520466,0,0,0,0,0,0,0,0,0,-21.6080966579242,-56.1155487729209,-64.0564006989832,-34.5074521149968,-7.9408519260623
0.106,"informal",FALSE,0.133623762292206,0,0.0100275927575024,0.101879609146274,0.130305642222037,-21.4209216090679,-23.6115533615384,0,0,0,0,0,0,0,0,0,-21.4209216090679,-55.3398318494054,-63.1706055147121,-33.9189102403375,-7.83077366530671
0.108,"informal",FALSE,0.134401032016757,0,0.0100859217861634,0.102472227812147,0.131063610931344,-21.2353679199949,-23.4070238407767,0,0,0,0,0,0,0,0,0,-21.2353679199949,-54.5748380990315,-62.2970502114865,-33.3394701790366,-7.72221211245508
0.11,"informal",FALSE,0.1351828230047,0,0.0101445901061845,0.103068293653426,0.131825988632882,-21.0514215460579,-23.2042660088243,0,0,0,0,0,0,0,0,0,-21.0514215460579,-53.8204192893206,-61.4355655107976,-32.7689977432628,-7.61514622147696
0.112,"informal",FALSE,0.135969161555557,0,0.0102035996911734,0.103667826721825,0.13259280097311,-20.8690685642679,-23.0032645188443,0,0,0,0,0,0,0,0,0,-20.8690685642679,-53.0764292368955,-60.5859844729129,-32.2073606726276,-7.50955523601741
0.114,"informal",FALSE,0.136760074121831,0,0.0102629525262181,0.10427084718569,0.133364073747667,-20.6882951722408,-22.8040041569378,0,0,0,0,0,0,0,0,0,-20.6882951722408,-52.3427237791543,-59.7481424645285,-31.6544286069135,-7.40541868537417
0.116,"informal",FALSE,0.137555587309896,0,0.0103226506079537,0.104877375330688,0.134139832902242,-20.5090876871523,-22.6064698409929,0,0,0,0,0,0,0,0,0,-20.5090876871523,-51.6191607463362,-58.921877126866,-31.1100730591839,-7.30271638052977
0.118,"informal",FALSE,0.138355727880889,0,0.0103826959446292,0.105487431560482,0.134920104533445,-20.3314325447021,-22.410646619543,0,0,0,0,0,0,0,0,0,-20.3314325447021,-50.9055999339732,-58.107028344212,-30.5741673892711,-7.20142841023887
0.12,"informal",FALSE,0.139160522751617,0,0.0104430905561754,0.106101036397422,0.135704914889688,-20.1553162980878,-22.2165196706349,0,0,0,0,0,0,0,0,0,-20.1553162980878,-50.2019030757229,-57.3034382128919,-30.0465867776351,-7.10153513716897
0.122,"informal",FALSE,0.139969998995453,0,0.0105038364742727,0.106718210483232,0.136494290372066,-19.9807256169865,-22.0240743007072,0,0,0,0,0,0,0,0,0,-19.9807256169865,-49.5079338165768,-56.5109510106712,-29.5272081995902,-7.00301719409449
0.124,"informal",FALSE,0.140784183843255,0,0.0105649357424196,0.107338974579707,0.137288257535244,-19.8076472865464,-21.833295943478,0,0,0,0,0,0,0,0,0,-19.8076472865464,-48.8235576864383,-55.7294131665815,-29.0159103998919,-6.90585548014323
0.126,"informal",FALSE,0.141603104684278,0,0.0106263904160012,0.107963349569409,0.138086843088352,-19.6360682063858,-21.6441701588423,0,0,0,0,0,0,0,0,0,-19.6360682063858,-48.1486420740674,-54.9586732311618,-28.5125738676816,-6.81003115709439
0.128,"informal",FALSE,0.142426789067096,0,0.0106882025623585,0.108591356456373,0.138890073895884,-19.4659753896023,-21.4566826317791,0,0,0,0,0,0,0,0,0,-19.4659753896023,-47.4830562013837,-54.1985818471114,-28.0170808117814,-6.71552564572769
0.13,"informal",FALSE,0.14325526470053,0,0.0107503742608579,0.109223016366807,0.139697976978599,-19.2973559617895,-21.2708191712682,0,0,0,0,0,0,0,0,0,-19.2973559617895,-46.8266710981264,-53.448991720349,-27.529315136337,-6.62232062222255
0.132,"informal",FALSE,0.144088559454578,0,0.0108129076029613,0.109858350549813,0.140510579514435,-19.1301971600622,-21.0865657092153,0,0,0,0,0,0,0,0,0,-19.1301971600622,-46.1793595768634,-52.7097575914704,-27.0491624168011,-6.53039801460708
0.134,"informal",FALSE,0.144926701361355,0,0.0108758046922961,0.110497380378092,0.141327908839416,-18.9644863320911,-20.903908299388,0,0,0,0,0,0,0,0,0,-18.9644863320911,-45.540996208346,-51.9807362076018,-26.5765098762549,-6.43973999925576
0.136,"informal",FALSE,0.145769718616032,0,0.0109390676447264,0.111140127348666,0.142149992448578,-18.8002109351444,-20.7228331163598,0,0,0,0,0,0,0,0,0,-18.8002109351444,-44.9114572972052,-51.2617862946405,-26.1112463620608,-6.35032899743531
0.138,"informal",FALSE,0.14661763957779,0,0.0110026985884239,0.111786613083606,0.142976857996891,-18.6373585351389,-20.5433264544636,0,0,0,0,0,0,0,0,0,-18.6373585351389,-44.2906208579829,-50.5527685298812,-25.653262322844,-6.26214767189828
0.14,"informal",FALSE,0.147470492770771,0,0.0110666996639395,0.112436859330751,0.143808533300191,-18.4759168056987,-20.3653747267544,0,0,0,0,0,0,0,0,0,-18.4759168056987,-43.6783665914947,-49.853545515018,-25.202449785796,-6.17517892352334
0.142,"informal",FALSE,0.148328306885035,0,0.0111310730242755,0.113090887964448,0.144645046336113,-18.3158735272222,-20.188964463981,0,0,0,0,0,0,0,0,0,-18.3158735272222,-43.0745758615199,-49.1639817495218,-24.7587023342977,-6.08940588800186
0.144,"informal",FALSE,0.149191110777531,0,0.0111958208349577,0.113748720986281,0.145486425245034,-18.1572165859572,-20.0140823135665,0,0,0,0,0,0,0,0,0,-18.1572165859572,-42.4791316718133,-48.4839436043835,-24.3219150858561,-6.00481193257017
