"cohort","life_stage","policy","i","weight","choice","pension_class","formal","wage","solidarity_eligible","consumption_young","consumption_old","experienced_utility","baseline_utility","welfare_cev"
-1,"old_at_reform","Law 2381 pillars",0.75,0.00546367883789977,"capitalization","funded_only",TRUE,1.76919364341683,FALSE,NA,2.31285608021043,-0.0693250089275094,-0.0720861218084497,0.0263791428641942
-1,"old_at_reform","Law 2381 pillars",0.76,0.0049105173257538,"capitalization","funded_only",TRUE,1.85321853122421,FALSE,NA,2.42270130454607,-0.0646640703446364,-0.0672395449147053,0.0263791428641944
-1,"old_at_reform","Law 2381 pillars",0.77,0.00439711701067287,"capitalization","funded_only",TRUE,1.94123404029417,FALSE,NA,2.53776344376567,-0.0603165013351597,-0.06271881864238,0.0263791428641942
-1,"old_at_reform","Law 2381 pillars",0.78,0.00392290226240524,"payg","payg_only",TRUE,2.03342969849729,FALSE,NA,2.71110605773327,-0.0546252058886473,-0.0579475448851369,0.0401467963281004
-1,"old_at_reform","Law 2381 pillars",0.79,0.00348694938664893,"payg","payg_only",TRUE,2.13000403501279,FALSE,NA,2.85797004035041,-0.0504691906504048,-0.053538758215256,0.0401467963281001
-1,"old_at_reform","Law 2381 pillars",0.8,0.00308803695908519,"payg","payg_only",TRUE,2.23116500783064,FALSE,NA,3.01024886230138,-0.0466884274744624,-0.0495280466714935,0.0401467963281001
-1,"old_at_reform","Law 2381 pillars",0.81,0.00272469582188591,"payg","payg_only",TRUE,2.33713045155711,FALSE,NA,3.16830689868393,-0.0432386358217736,-0.0458684365448779,0.0401467963281001
-1,"old_at_reform","Law 2381 pillars",0.82,0.0023952577407798,"payg","payg_only",TRUE,2.44812854648811,FALSE,NA,3.33252462288617,-0.0400823150732872,-0.0425201464053837,0.0401467963281001
-1,"old_at_reform","Law 2381 pillars",0.83,0.00209790186595431,"payg","payg_only",TRUE,2.56439830996037,FALSE,NA,3.50329771994697,-0.0371875252819638,-0.0394492936985271,0.0401467963281001
-1,"old_at_reform","Law 2381 pillars",0.84,0.00183069829236669,"payg","payg_only",TRUE,2.68619011103857,FALSE,NA,3.68103661821835,-0.0345269043267754,-0.0366268521220614,0.0401467963281001
-1,"old_at_reform","Law 2381 pillars",0.85,0.00159164816888775,"payg","payg_only",TRUE,2.81376620964664,FALSE,NA,3.86616637639858,-0.0320768740386242,-0.0340278094679797,0.0401467963281001
-1,"old_at_reform","Law 2381 pillars",0.86,0.00137871995615396,"payg","payg_only",TRUE,2.94740132130414,FALSE,NA,4.05912686823509,-0.0298169975638875,-0.0316304859005114,0.0401467963281001
-1,"old_at_reform","Law 2381 pillars",0.87,0.00118988157581876,"payg","payg_only",TRUE,3.08738320868397,FALSE,NA,4.26037321407344,-0.0277294579213214,-0.0294159807985316,0.0401467963281001
-1,"old_at_reform","Law 2381 pillars",0.88,0.0010231283256207,"payg","payg_only",TRUE,3.23401330126504,FALSE,NA,4.47037641586809,-0.0257986338089219,-0.0273677227627331,0.0401467963280999
-1,"old_at_reform","Law 2381 pillars",0.89,0.000876506552691064,"payg","payg_only",TRUE,3.38760734441431,FALSE,NA,4.6896241595799,-0.0240107535602523,-0.0254711025253608,0.0401467963281001
-1,"old_at_reform","Law 2381 pillars",0.9,0.000748133179985062,"payg","payg_only",TRUE,3.54849607929588,FALSE,NA,4.91862175565789,-0.0223536119970485,-0.0237131725816179,0.0401467963280999
-1,"old_at_reform","Law 2381 pillars",0.91,0.000636211266591,"payg","payg_only",TRUE,3.71702595507133,FALSE,NA,5.15789319433512,-0.0208163379840733,-0.0220824006070604,0.0401467963280999
-1,"old_at_reform","Law 2381 pillars",0.92,0.000539041851611795,"payg","payg_only",TRUE,3.89355987492467,FALSE,NA,5.40798229768913,-0.0193892029270216,-0.0205684663082271,0.0401467963281001
